Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6579cc55a384614cdb272410,5ac033fa68b65b00018d2c1a,APPROVED,2023-12-13T15:23:01.096000Z,2023-12-13T15:35:07.792000Z,2023-12-13T20:19:18.804000Z,2023-12-13T15:35:08.169118Z,727.0,CWWHERKO,1317,English,English,39,Male,Mixed,New Zealand,Australia,New Zealand,English,DATA_EXPIRED,DATA_EXPIRED
6579cc5ea384614cdb272413,60fd56b6df52345b18535feb,APPROVED,2023-12-13T15:23:14.684000Z,2023-12-13T15:40:15.108000Z,2023-12-13T20:19:19.067000Z,2023-12-13T15:40:15.716346Z,1021.0,CWWHERKO,262,English,English,49,Female,White,Ireland,Ireland,Ireland,English,No,Part-Time
6579cc62af920152a7038f21,612b5a2c55286e4cf74a63ee,APPROVED,2023-12-13T15:23:19.316000Z,2023-12-13T15:35:10.344000Z,2023-12-13T20:19:19.315000Z,2023-12-13T15:35:10.781620Z,712.0,CWWHERKO,1002,English,English,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Other
6579cc6d55071e3fcc66715b,607ee7232fb723e021ea8bd5,APPROVED,2023-12-13T15:23:35.718000Z,2023-12-13T15:45:06.646000Z,2023-12-13T20:19:19.555000Z,2023-12-13T15:45:07.113258Z,1291.0,CWWHERKO,1017,English,English,38,Male,White,Canada,Canada,Canada,English,DATA_EXPIRED,DATA_EXPIRED
6579cc768e007ec0fc2298d5,5f5d4c33c6a95e5ae62a5c35,APPROVED,2023-12-13T15:23:40.802000Z,2023-12-13T15:42:39.906000Z,2023-12-13T20:19:19.794000Z,2023-12-13T15:42:40.400470Z,1140.0,CWWHERKO,195,English,English,27,Female,Black,Canada,Canada,Canada,English,No,Due to start a new job within the next month
6579cc8c5cfca1275087025c,5fdf0499adaa096f85b56eab,APPROVED,2023-12-13T15:24:02.776000Z,2023-12-13T15:44:06.950000Z,2023-12-13T20:19:20.019000Z,2023-12-13T15:44:07.400121Z,1205.0,CWWHERKO,137,English,English,25,Male,White,South Africa,South Africa,South Africa,English,No,Part-Time
6579cc8e0cd4975eb70a43e9,59d1f0fffaf42e00012b6c20,APPROVED,2023-12-13T15:24:02.359000Z,2023-12-13T15:34:54.479000Z,2023-12-13T20:19:20.245000Z,2023-12-13T15:34:54.980494Z,653.0,CWWHERKO,2053,English,English,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6579cc96ca324e912dee4e29,60886f033e4f5c214da0c898,APPROVED,2023-12-13T15:24:06.968000Z,2023-12-13T15:35:16.301000Z,2023-12-13T20:19:20.470000Z,2023-12-13T15:35:16.715733Z,670.0,CWWHERKO,1462,English,English,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6579cc9fdef90fc2a25cbeea,598afb77600a7a00018fabd7,APPROVED,2023-12-13T15:24:18.728000Z,2023-12-13T15:33:19.996000Z,2023-12-13T20:19:20.695000Z,2023-12-13T15:33:20.404916Z,542.0,CWWHERKO,815,English,English,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6579cca09835e6b1b65cc1eb,5e1cf0eb65b6d3071f489de9,APPROVED,2023-12-13T15:24:21.350000Z,2023-12-13T15:35:55.823000Z,2023-12-13T20:19:20.914000Z,2023-12-13T15:35:56.376174Z,695.0,CWWHERKO,1327,English,English,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6579cca488dd28bd059fd3ac,5d4b14caed2dfc0001a22c1a,APPROVED,2023-12-13T15:24:30.007000Z,2023-12-13T15:42:10.274000Z,2023-12-13T20:19:21.626000Z,2023-12-13T15:42:10.694666Z,1061.0,CWWHERKO,992,English,English,40,Female,White,United States,United States,United States,English,No,Other
6579cca8f05fc21f33631e45,5e11a7d6feea8982dba1e61c,APPROVED,2023-12-13T15:24:24.137000Z,2023-12-13T15:32:16.449000Z,2023-12-13T20:19:21.852000Z,2023-12-13T15:32:17.222193Z,473.0,CWWHERKO,224,English,English,34,Female,White,Ireland,Ireland,Ireland,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6579ccaa44bf516ba397a372,58c4f54f93499d0001346edd,APPROVED,2023-12-13T15:24:33.191000Z,2023-12-13T15:33:11.545000Z,2023-12-13T20:19:22.088000Z,2023-12-13T15:33:11.976121Z,519.0,CWWHERKO,1556,English,English,34,Male,Mixed,Australia,Australia,Australia,English,No,Unemployed (and job seeking)
6579ccabd78dce3d29f7faea,6546647f0e866aeb16d630a2,APPROVED,2023-12-13T15:24:34.589000Z,2023-12-13T15:33:02.931000Z,2023-12-13T20:19:22.527000Z,2023-12-13T15:33:03.406105Z,509.0,CWWHERKO,13,English,"English, Malay",43,Female,Asian,Malaysia,Canada,Canada,English,No,Full-Time
6579ccab3cfd1751e29f03f9,5a8a8de6000dab00018cc170,APPROVED,2023-12-13T15:24:30.799000Z,2023-12-13T15:42:20.335000Z,2023-12-13T20:19:22.302000Z,2023-12-13T15:42:20.781902Z,1070.0,CWWHERKO,1498,English,English,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6579ccac1e525246fe229a52,6554cfc335ac9ff968a5f162,APPROVED,2023-12-13T15:24:48.981000Z,2023-12-13T15:43:13.275000Z,2023-12-13T20:19:22.768000Z,2023-12-13T15:43:13.752044Z,1105.0,CWWHERKO,30,English,English,47,Male,White,South Africa,South Africa,United Kingdom,English,No,Part-Time
6579ccb5ca324e912dee4e31,5f860adba36f4012cb5043c0,APPROVED,2023-12-13T15:26:05.074000Z,2023-12-13T15:58:04.329000Z,2023-12-13T20:19:22.999000Z,2023-12-13T15:58:04.867254Z,1920.0,CWWHERKO,1060,"English, Portuguese","English, Portuguese, Spanish",23,Female,White,United States,Portugal,United States,English,DATA_EXPIRED,DATA_EXPIRED
6579ccbc9b216b0a88fd473e,62eba3f3f2926f945ac33310,APPROVED,2023-12-13T15:24:48.403000Z,2023-12-13T15:34:31.717000Z,2023-12-13T20:19:23.236000Z,2023-12-13T15:34:32.161540Z,584.0,CWWHERKO,229,English,English,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6579ccc140431b027b4cf956,6097ec1a8c0b4df21cbb9024,APPROVED,2023-12-13T15:24:49.116000Z,2023-12-13T16:13:30.337000Z,2023-12-13T20:19:23.476000Z,2023-12-13T16:13:30.810501Z,2922.0,CWWHERKO,588,English,"Afrikaans, English",44,Male,White,South Africa,South Africa,South Africa,English,No,Full-Time
6579ccc5f197bc340f8c0174,60fbf4a93bcce0548755ae7d,APPROVED,2023-12-13T15:24:56.017000Z,2023-12-13T15:35:54.161000Z,2023-12-13T20:19:23.708000Z,2023-12-13T15:35:54.755288Z,659.0,CWWHERKO,460,English,English,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
6579cccb57927ffd4f12e75b,6543bd9e421ae38ae700049f,APPROVED,2023-12-13T15:25:10.008000Z,2023-12-13T15:38:34.623000Z,2023-12-13T20:19:23.943000Z,2023-12-13T15:38:35.107053Z,805.0,CWWHERKO,26,English,"English, French",34,Male,White,Canada,Canada,Canada,English,No,Full-Time
6579ccd5342785b0083ebb22,6400d9d7829f8ed06ac31552,APPROVED,2023-12-13T15:25:13.165000Z,2023-12-13T15:32:19.753000Z,2023-12-13T20:19:24.248000Z,2023-12-13T15:32:20.259655Z,427.0,CWWHERKO,411,English,English,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
6579ccf7be3ef8a0b19f06a7,61391693d47000d783145b93,APPROVED,2023-12-13T15:25:56.231000Z,2023-12-13T15:42:10.012000Z,2023-12-13T20:19:24.482000Z,2023-12-13T15:42:10.482755Z,974.0,CWWHERKO,307,English,English,27,Female,White,United States,United Kingdom,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6579cd0b2ca9ec07f885d46e,604ce78146f1e005b68e1bd7,APPROVED,2023-12-13T15:26:07.454000Z,2023-12-13T15:38:13.071000Z,2023-12-13T20:19:24.731000Z,2023-12-13T15:38:13.701490Z,726.0,CWWHERKO,58,English,English,39,Female,White,Ireland,Ireland,Ireland,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
