Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
664e45f33a7590a9148e4ce2,5820426d6bf1b000019300b9,RETURNED,Not Applicable,2024-05-22T19:22:33.031000Z,,,2024-05-22T19:39:09.432547Z,,,690,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
664e463b25b913026e1043d6,607dc0504aa0f95b06e2789f,APPROVED,Not Applicable,2024-05-22T19:23:43.066000Z,2024-05-22T19:35:23.751000Z,2024-05-23T00:30:25.525000Z,2024-05-22T19:35:24.445743Z,701.0,CWWHERKO,80,English,English,24,Female,White,United Kingdom,Slovenia,United Kingdom,English,DATA_EXPIRED,Part-Time
664e4653c9bd6882c2fbf414,62b1e58145539203ae51be94,APPROVED,Not Applicable,2024-05-22T19:24:10.496000Z,2024-05-22T19:40:18.209000Z,2024-05-23T00:30:25.704000Z,2024-05-22T19:41:12.027026Z,968.0,CWWHERKO,34,English,English,52,Female,White,Canada,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
664e466857c2319c34592ce0,604669987ce28b034f7ae980,APPROVED,Not Applicable,2024-05-22T19:24:31.061000Z,2024-05-22T19:36:36.054000Z,2024-05-23T00:30:25.882000Z,2024-05-22T19:36:38.561983Z,725.0,CWWHERKO,70,English,"English, Russian",33,Male,Other,Georgia,Canada,Georgia,English,Yes,Full-Time
664e46929edce1893498a7f4,62779d95881329faf37ad653,APPROVED,Not Applicable,2024-05-22T19:25:11.736000Z,2024-05-22T19:39:44.877000Z,2024-05-23T00:30:26.059000Z,2024-05-22T19:40:53.441789Z,874.0,CWWHERKO,1238,"English, Italian","English, Italian",42,Male,White,Italy,United Kingdom,United Kingdom,English,No,Full-Time
664e46d426686cecdfd665ea,57ceb12e79ad9b0001e41bce,APPROVED,Not Applicable,2024-05-22T19:26:20.729000Z,2024-05-22T19:37:09.107000Z,2024-05-23T00:30:26.232000Z,2024-05-22T19:37:11.667548Z,649.0,CWWHERKO,169,English,English,45,Female,White,United States,United States,United States,English,No,Part-Time
664e46d48a7dcef37cff65cf,5a99eb63b5e2110001c6c2b6,RETURNED,Not Applicable,2024-05-22T19:26:17.398000Z,,,2024-05-22T19:39:09.434463Z,,,791,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
664e46e29206bf9d354881b9,6127c89a145f6be7b6527daa,APPROVED,Not Applicable,2024-05-22T19:26:29.214000Z,2024-05-22T19:37:48.701000Z,2024-05-23T00:30:26.398000Z,2024-05-22T19:38:07.572757Z,680.0,CWWHERKO,1340,English,English,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
664e46eca4f7f928cffe1639,61222d4342138f097de1b542,APPROVED,Not Applicable,2024-05-22T19:26:41.090000Z,2024-05-22T19:44:54.570000Z,2024-05-23T00:30:26.571000Z,2024-05-22T19:44:55.068771Z,1094.0,CWWHERKO,457,English,English,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
664e46f82ee05e94fa08f4a2,558bafe0fdf99b21155f2da0,RETURNED,Not Applicable,2024-05-22T19:26:52.046000Z,,,2024-05-22T19:39:09.441558Z,,,161,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
664e471907985f23c2822d9e,5ed6c1c29e50c21348065f98,APPROVED,Not Applicable,2024-05-22T19:27:21.015000Z,2024-05-22T19:39:05.247000Z,2024-05-23T00:30:26.753000Z,2024-05-22T19:40:33.045821Z,705.0,CWWHERKO,474,"English, Spanish","English, Spanish",50,Male,White,Spain,Spain,Spain,English,Yes,Full-Time
664e471c778828c39a34965e,5c7427d637793100010f8bff,TIMED-OUT,Not Applicable,2024-05-22T19:27:26.337000Z,,,2024-05-22T19:39:09.453522Z,704.0,,1527,"English, Arabic","French, Arabic, English",27,Female,Other,United Kingdom,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED
664e47379855cbf9f72fe1bc,642dad54aa3467791f3fca37,RETURNED,Not Applicable,2024-05-22T19:27:55.062000Z,,,2024-05-22T19:39:09.453706Z,,,41,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
664e4740bc7ae054dc720da0,608f896cbb14d38fcaad330d,APPROVED,Not Applicable,2024-05-22T19:28:13.045000Z,2024-05-22T19:55:16.489000Z,2024-05-23T00:30:26.939000Z,2024-05-22T19:55:16.973853Z,1624.0,.,89,English,English,28,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
664e474e120b00bd5a99b557,65da7d5d257329bdfd30de93,APPROVED,Not Applicable,2024-05-22T19:28:19.498000Z,2024-05-22T19:38:38.337000Z,2024-05-23T00:30:27.121000Z,2024-05-22T19:40:20.301841Z,619.0,NOCODE,166,English,English,36,Female,White,United States,United States,United States,English,No,Full-Time
664e481aa8c75e4538d41043,5c5243d45acab700012608c7,APPROVED,Not Applicable,2024-05-22T19:31:43.309000Z,2024-05-22T19:41:42.037000Z,2024-05-23T00:30:27.305000Z,2024-05-22T19:41:42.792659Z,599.0,CWWHERKO,200,English,English,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
664e486e732628231a08f4ab,5f39a493da1ce1553328ebd9,APPROVED,Not Applicable,2024-05-22T19:33:02.819000Z,2024-05-22T19:47:56.917000Z,2024-05-23T00:30:27.489000Z,2024-05-22T19:47:57.578746Z,895.0,CWWHERKO,583,English,"Afrikaans, English",29,Female,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time
664e49420137c3c57529ffae,5d76ae9afa583b001a6d93e1,APPROVED,Not Applicable,2024-05-22T19:36:34.263000Z,2024-05-22T19:46:09.754000Z,2024-05-23T00:30:27.660000Z,2024-05-22T19:46:10.238626Z,576.0,CWWHERKO,367,English,English,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
